269,39,465,41,464,68,269,65
265,74,412,77,412,102,265,100
262,110,356,108,356,128,263,129
313,18,403,20,403,37,313,34
257,200,329,199,329,216,258,217
78,58,111,59,111,70,78,69
604,109,623,108,627,210,608,211
28,58,67,59,67,70,28,69
30,185,71,184,72,198,30,199
320,147,363,147,364,167,320,168
633,94,654,93,657,180,636,181
258,19,311,18,311,34,258,35
477,205,513,206,513,218,477,218
384,205,442,203,442,216,384,218
91,153,164,152,164,167,91,168
353,204,380,204,380,217,353,217
84,18,123,18,123,32,84,31
76,201,114,203,114,219,76,217
50,40,85,39,85,50,50,51
26,209,66,207,66,220,26,221
133,25,162,26,161,41,132,40
276,144,315,143,315,165,277,166
448,204,474,205,473,218,448,218
155,19,183,19,183,31,155,31
24,18,54,18,53,31,24,31
27,42,60,42,60,53,27,54
54,18,85,18,85,30,54,30
27,102,53,102,53,114,27,113
108,202,137,204,137,219,107,217
