288,631,438,632,437,683,287,682
544,408,669,406,670,423,544,425
287,721,432,720,432,737,287,739
563,381,636,379,636,396,563,398
250,151,388,150,388,170,250,172
640,377,725,375,725,394,641,395
256,41,296,41,296,62,256,61
285,818,423,822,422,841,285,837
361,348,428,347,428,366,361,367
642,519,683,519,683,534,643,535
355,124,440,123,440,141,355,142
677,404,742,402,743,419,677,420
290,349,350,348,351,366,290,367
396,153,481,152,482,171,396,172
370,702,440,702,440,717,370,717
338,444,386,445,386,463,337,463
649,448,704,446,705,461,650,464
286,701,368,702,367,719,285,718
598,450,646,449,646,463,598,464
293,123,349,123,349,141,293,141
541,551,578,552,577,569,540,567
620,551,660,552,660,568,619,567
520,533,550,534,550,545,520,544
568,550,622,552,621,569,568,567
515,551,538,552,538,566,514,565
534,523,567,524,566,535,533,533
