1040,1142,1368,1138,1369,1217,1040,1221
724,991,1057,986,1058,1040,725,1044
668,1570,870,1564,871,1604,669,1610
1895,871,2025,869,2026,923,1896,925
506,1277,533,1276,538,1497,511,1497
931,1555,1094,1548,1096,1588,933,1596
853,1613,1027,1610,1027,1648,853,1651
672,1156,1015,1153,1016,1235,672,1238
1058,982,1232,980,1233,1030,1059,1031
1945,929,2032,928,2032,966,1945,967
717,1624,845,1621,846,1662,718,1665
995,1256,1193,1255,1193,1320,995,1321
738,1269,876,1268,877,1333,739,1334
487,909,545,910,544,967,486,966
497,967,540,971,536,1015,492,1011
895,1265,976,1266,976,1319,894,1318
670,1631,707,1630,708,1663,671,1663
667,1277,731,1275,733,1328,669,1330
511,1163,535,1162,541,1315,517,1316
880,1564,919,1562,921,1595,881,1597
495,1155,513,1154,524,1338,505,1339
520,1417,544,1418,540,1560,516,1559
